Date	Treatment	Dye	pop	count	Fungalight Green-H	Fungalight Red-H	sample
021424	0	Both	singlet	19506	230	62	021424_0mM_Both
021424	0	Both	intermediate	54	12162	556.5	021424_0mM_Both
021424	0	Both	live	19317	228	61	021424_0mM_Both
021424	0	PI	singlet	18226	78	59	021424_0mM_PI
021424	0	PI	intermediate	0	NA	NA	021424_0mM_PI
021424	0	PI	live	18035	78	59	021424_0mM_PI
021424	10	Both	singlet	18878	728	68	021424_10mM_Both
021424	10	Both	intermediate	124	6087	207.5	021424_10mM_Both
021424	10	Both	live	18464	713	67	021424_10mM_Both
021424	10	PI	singlet	17903	87	60	021424_10mM_PI
021424	10	PI	intermediate	0	NA	NA	021424_10mM_PI
021424	10	PI	live	17404	87	60	021424_10mM_PI
021424	100	Both	singlet	19398	6261.5	193	021424_100mM_Both
021424	100	Both	intermediate	10790	9971	291	021424_100mM_Both
021424	100	Both	live	8230	150	71	021424_100mM_Both
021424	100	PI	singlet	19074	73	59	021424_100mM_PI
021424	100	PI	intermediate	0	NA	NA	021424_100mM_PI
021424	100	PI	live	18758	73	59	021424_100mM_PI
021424	1000	Both	singlet	19824	638	944	021424_1000mM_Both
021424	1000	Both	intermediate	1	8777	203	021424_1000mM_Both
021424	1000	Both	live	15	197	107	021424_1000mM_Both
021424	1000	PI	singlet	18218	73	808	021424_1000mM_PI
021424	1000	PI	intermediate	0	NA	NA	021424_1000mM_PI
021424	1000	PI	live	31	85	66	021424_1000mM_PI
021424	5C	Both	singlet	18656	290	62	021424_5C_Both
021424	5C	Both	intermediate	69	16353	733	021424_5C_Both
021424	5C	Both	live	18321	287	62	021424_5C_Both
021424	5C	PI	singlet	19511	80	60	021424_5C_PI
021424	5C	PI	intermediate	0	NA	NA	021424_5C_PI
021424	5C	PI	live	19209	80	59	021424_5C_PI
021624	0	Both	singlet	19295	844	69	021624_0mM_Both
021624	0	Both	intermediate	152	3128.5	174.5	021624_0mM_Both
021624	0	Both	live	19070	833	69	021624_0mM_Both
021624	0	PI	singlet	18671	71	59	021624_0mM_PI
021624	0	PI	intermediate	0	NA	NA	021624_0mM_PI
021624	0	PI	live	18584	71	58	021624_0mM_PI
021624	10	Both	singlet	18492	1421	77	021624_10mM_Both
021624	10	Both	intermediate	323	3309	176	021624_10mM_Both
021624	10	Both	live	17966	1400	76	021624_10mM_Both
021624	10	PI	singlet	18092	77	59	021624_10mM_PI
021624	10	PI	intermediate	0	NA	NA	021624_10mM_PI
021624	10	PI	live	17887	77	59	021624_10mM_PI
021624	100	Both	singlet	19702	3221.5	108	021624_100mM_Both
021624	100	Both	intermediate	4791	6494	204	021624_100mM_Both
021624	100	Both	live	14184	2395	86	021624_100mM_Both
021624	100	PI	singlet	19091	69	60	021624_100mM_PI
021624	100	PI	intermediate	0	NA	NA	021624_100mM_PI
021624	100	PI	live	18393	69	59	021624_100mM_PI
021624	1000	Both	singlet	19173	1122	1372	021624_1000mM_Both
021624	1000	Both	intermediate	2	6663.5	199.5	021624_1000mM_Both
021624	1000	Both	live	27	794	63	021624_1000mM_Both
021624	1000	PI	singlet	19274	66	1027	021624_1000mM_PI
021624	1000	PI	intermediate	0	NA	NA	021624_1000mM_PI
021624	1000	PI	live	58	72	62.5	021624_1000mM_PI
021624	5C	Both	singlet	18910	860	69	021624_5C_Both
021624	5C	Both	intermediate	115	3184	182	021624_5C_Both
021624	5C	Both	live	18642	851	69	021624_5C_Both
021624	5C	PI	singlet	17623	77	60	021624_5C_PI
021624	5C	PI	intermediate	0	NA	NA	021624_5C_PI
021624	5C	PI	live	17461	77	59	021624_5C_PI
021724	0	Both	singlet	18130	2690	118	021724_0mM_Both
021724	0	Both	intermediate	4955	5059	203	021724_0mM_Both
021724	0	Both	live	13094	2232	99	021724_0mM_Both
021724	0	PI	singlet	18703	73	59	021724_0mM_PI
021724	0	PI	intermediate	0	NA	NA	021724_0mM_PI
021724	0	PI	live	18606	73	58	021724_0mM_PI
021724	10	Both	singlet	18133	2557	109	021724_10mM_Both
021724	10	Both	intermediate	3124	3993	184	021724_10mM_Both
021724	10	Both	live	14852	2315	99	021724_10mM_Both
021724	10	PI	singlet	18113	78	60	021724_10mM_PI
021724	10	PI	intermediate	0	NA	NA	021724_10mM_PI
021724	10	PI	live	17942	78	59	021724_10mM_PI
021724	100	Both	singlet	18879	4541	139	021724_100mM_Both
021724	100	Both	intermediate	7677	7404	223	021724_100mM_Both
021724	100	Both	live	10874	2647	91	021724_100mM_Both
021724	100	PI	singlet	19277	70	59	021724_100mM_PI
021724	100	PI	intermediate	0	NA	NA	021724_100mM_PI
021724	100	PI	live	19027	70	58	021724_100mM_PI
021724	1000	Both	singlet	18148	2507	2037	021724_1000mM_Both
021724	1000	Both	intermediate	1	1537	208	021724_1000mM_Both
021724	1000	Both	live	7	191	47	021724_1000mM_Both
021724	1000	PI	singlet	18735	67	1164	021724_1000mM_PI
021724	1000	PI	intermediate	0	NA	NA	021724_1000mM_PI
021724	1000	PI	live	42	74	64	021724_1000mM_PI
021724	5C	Both	singlet	17599	2537	119	021724_5C_Both
021724	5C	Both	intermediate	3703	3946	189	021724_5C_Both
021724	5C	Both	live	12771	2250	101	021724_5C_Both
021724	5C	PI	singlet	18001	78	60	021724_5C_PI
021724	5C	PI	intermediate	0	NA	NA	021724_5C_PI
021724	5C	PI	live	17396	78	59	021724_5C_PI
