Date	Treatment	pop	count	Fungalight Green-H	Fungalight Red-H	sample
2024-04-05	0	singlet	18458	1535	82	20240405_0mM
2024-04-05	0	intermediate	734	3523.5	177	20240405_0mM
2024-04-05	0	live	17651	1497	80	20240405_0mM
2024-04-05	100	singlet	19175	1546	77	20240405_100mM
2024-04-05	100	intermediate	676	4628.5	181	20240405_100mM
2024-04-05	100	live	18092	1482.5	75	20240405_100mM
2024-04-05	250	singlet	19488	9059	426	20240405_250mM
2024-04-05	250	intermediate	12301	12707	379	20240405_250mM
2024-04-05	250	live	2661	4030	111	20240405_250mM
2024-04-05	500	singlet	18880	1816	1870	20240405_500mM
2024-04-05	500	intermediate	129	14425	573	20240405_500mM
2024-04-05	500	live	26	1734.5	82.5	20240405_500mM
2024-04-05	750	singlet	18819	1809	1757	20240405_750mM
2024-04-05	750	intermediate	9	8062	318	20240405_750mM
2024-04-05	750	live	9	2359	78	20240405_750mM
2024-04-05	1000	singlet	19712	1482	1544	20240405_1000mM
2024-04-05	1000	intermediate	4	7798.5	241	20240405_1000mM
2024-04-05	1000	live	10	1322	70	20240405_1000mM
2024-04-08	0	singlet	18250	1383	78	20240408_0mM
2024-04-08	0	intermediate	457	3422	180	20240408_0mM
2024-04-08	0	live	17647	1360	76	20240408_0mM
2024-04-08	100	singlet	19132	2226.5	88	20240408_100mM
2024-04-08	100	intermediate	1677	5402	186	20240408_100mM
2024-04-08	100	live	17147	2072	83	20240408_100mM
2024-04-08	250	singlet	19084	7460	488	20240408_250mM
2024-04-08	250	intermediate	10677	10549	349	20240408_250mM
2024-04-08	250	live	1638	4224.5	121	20240408_250mM
2024-04-08	500	singlet	18915	1210	1709	20240408_500mM
2024-04-08	500	intermediate	53	7934	348	20240408_500mM
2024-04-08	500	live	52	652	77	20240408_500mM
2024-04-08	750	singlet	18927	1102	1513	20240408_750mM
2024-04-08	750	intermediate	11	5825	301	20240408_750mM
2024-04-08	750	live	31	1009	74	20240408_750mM
2024-04-08	1000	singlet	19634	1332	1438	20240408_1000mM
2024-04-08	1000	intermediate	3	6712	238	20240408_1000mM
2024-04-08	1000	live	18	557.5	62.5	20240408_1000mM
2024-04-10	0	singlet	18746	1782	88	20240410_0mM
2024-04-10	0	intermediate	1346	3907	180	20240410_0mM
2024-04-10	0	live	17308	1701	84.5	20240410_0mM
2024-04-10	100	singlet	18615	3997	134	20240410_100mM
2024-04-10	100	intermediate	6537	6565	211	20240410_100mM
2024-04-10	100	live	11487	2964	98	20240410_100mM
2024-04-10	250	singlet	19222	12628	759	20240410_250mM
2024-04-10	250	intermediate	12672	16265	541	20240410_250mM
2024-04-10	250	live	396	4363.5	124	20240410_250mM
2024-04-10	500	singlet	18773	1835	1862	20240410_500mM
2024-04-10	500	intermediate	45	11642	436	20240410_500mM
2024-04-10	500	live	30	501	93.5	20240410_500mM
2024-04-10	750	singlet	19271	1734	1652	20240410_750mM
2024-04-10	750	intermediate	9	11613	333	20240410_750mM
2024-04-10	750	live	15	934	100	20240410_750mM
2024-04-10	1000	singlet	18685	1648	1436	20240410_1000mM
2024-04-10	1000	intermediate	8	5799.5	369	20240410_1000mM
2024-04-10	1000	live	13	243	121	20240410_1000mM
